Year,Emission
1990,66065530.23
1991,66190740.38
1992,65992240.13
1993,65992479.13
1994,66976040.42
1995,67833649.79
1996,68180779.58
1997,67871720
1998,68347789.82
1999,68823119.84
2000,69698160.08
2001,69755270.28
2002,70124990.49
2003,71711080.43
2004,73392359.56
2005,74913480.01
2006,75963319.33
2007,77144309.77
2008,78005150.14
2009,77649669.76
2010,79577420.31
2011,80590090.59
2012,81269270.19
2013,81333330.31
2014,82115520.05
2015,82642779.53
2016,83109269.82
2017,84356460.48
2018,85636559.75
2019,86257250.5
