Date,Value,Anomaly
197901,15.41,0.99
197902,16.18,0.88
197903,16.34,0.91
197904,15.45,0.76
197905,13.86,0.57
197906,12.53,0.76
197907,10.31,0.84
197908,8.04,0.84
197909,7.05,0.64
197910,8.75,0.40
197911,10.94,0.24
197912,13.34,0.50
198001,14.86,0.44
198002,15.96,0.66
198003,16.04,0.61
198004,15.43,0.74
198005,13.79,0.50
198006,12.20,0.43
198007,10.10,0.63
198008,7.98,0.78
198009,7.67,1.26
198010,9.18,0.83
198011,11.38,0.68
198012,13.59,0.75
198101,14.91,0.49
198102,15.60,0.30
198103,15.63,0.20
198104,15.01,0.32
198105,13.80,0.51
198106,12.43,0.66
198107,10.27,0.80
198108,7.84,0.64
198109,7.14,0.73
198110,8.86,0.51
198111,10.93,0.23
198112,13.34,0.50
198201,15.18,0.76
198202,15.97,0.67
198203,16.04,0.61
198204,15.47,0.78
198205,13.97,0.68
198206,12.48,0.71
198207,10.37,0.90
198208,8.14,0.94
198209,7.30,0.89
198210,9.42,1.07
198211,11.63,0.93
198212,13.64,0.80
198301,14.94,0.52
198302,16.01,0.71
198303,16.09,0.66
198304,15.17,0.48
198305,13.49,0.20
198306,12.30,0.53
198307,10.57,1.10
198308,8.19,0.99
198309,7.39,0.98
198310,9.33,0.98
198311,11.46,0.76
198312,13.30,0.46
198401,14.47,0.05
198402,15.30,0.00
198403,15.58,0.15
198404,15.01,0.32
198405,13.58,0.29
198406,12.15,0.38
198407,9.98,0.51
198408,7.77,0.57
198409,6.81,0.40
198410,8.56,0.21
198411,10.84,0.14
198412,12.99,0.15
198501,14.72,0.30
198502,15.47,0.17
198503,15.89,0.46
198504,15.36,0.67
198505,14.07,0.78
198506,12.22,0.45
198507,9.74,0.27
198508,7.40,0.20
198509,6.70,0.29
198510,8.55,0.20
198511,11.02,0.32
198512,13.05,0.21
198601,14.89,0.47
198602,15.78,0.48
198603,15.91,0.48
198604,15.06,0.37
198605,13.38,0.09
198606,11.98,0.21
198607,10.15,0.68
198608,7.98,0.78
198609,7.41,1.00
198610,9.48,1.13
