    YEAR      WO    WOse      NH    NHse      SH    SHse
  1957.5  -9.303   2.025  -3.149   0.925  -6.153   1.100
  1958.5  -8.059   2.017  -2.321   0.851  -5.738   1.166
  1959.5  -8.713   2.036  -2.505   0.824  -6.208   1.212
  1960.5  -5.479   1.893  -1.587   0.746  -3.892   1.148
  1961.5  -4.762   1.773  -1.936   0.711  -2.826   1.061
  1962.5  -4.121   1.728  -2.022   0.645  -2.100   1.082
  1963.5  -5.697   1.815  -2.209   0.678  -3.487   1.137
  1964.5  -6.521   1.733  -2.395   0.581  -4.125   1.152
  1965.5  -7.218   1.741  -2.763   0.561  -4.455   1.179
  1966.5  -9.122   1.664  -2.807   0.543  -6.315   1.121
  1967.5  -9.059   1.619  -3.514   0.503  -5.545   1.116
  1968.5  -8.991   1.468  -3.708   0.399  -5.283   1.069
  1969.5  -7.620   1.375  -3.718   0.340  -3.902   1.034
  1970.5  -6.838   1.312  -3.707   0.306  -3.131   1.005
  1971.5  -5.627   1.316  -3.251   0.328  -2.376   0.987
  1972.5  -4.770   1.374  -2.942   0.344  -1.828   1.030
  1973.5  -4.087   1.318  -2.413   0.336  -1.674   0.982
  1974.5  -3.354   1.314  -2.347   0.363  -1.007   0.950
  1975.5  -1.398   1.324  -1.528   0.380   0.130   0.944
  1976.5  -1.445   1.352  -1.042   0.363  -0.403   0.989
  1977.5  -1.143   1.233  -0.497   0.343  -0.646   0.891
  1978.5   0.056   1.182  -0.021   0.297   0.077   0.884
  1979.5   0.068   1.178   0.589   0.273  -0.521   0.905
  1980.5  -1.176   1.164   0.316   0.264  -1.493   0.900
  1981.5  -1.383   1.110   0.469   0.259  -1.852   0.851
  1982.5  -1.073   1.086   1.014   0.249  -2.087   0.837
  1983.5  -0.974   1.128   1.034   0.241  -2.009   0.888
  1984.5  -0.210   1.032   0.939   0.225  -1.148   0.807
  1985.5   0.481   0.930   1.184   0.212  -0.703   0.718
  1986.5   0.718   0.946   1.114   0.211  -0.396   0.735
  1987.5   1.023   0.890   1.030   0.198  -0.007   0.692
  1988.5   0.844   0.912   0.343   0.223   0.501   0.689
  1989.5   0.412   0.868   0.363   0.194   0.050   0.674
  1990.5   0.517   0.809   0.789   0.178  -0.272   0.631
  1991.5   3.036   0.693   1.012   0.153   2.024   0.540
  1992.5   3.899   0.652   1.343   0.163   2.556   0.489
  1993.5   3.840   0.549   1.694   0.167   2.146   0.383
  1994.5   3.409   0.542   2.488   0.182   0.922   0.360
  1995.5   4.543   0.562   2.588   0.180   1.955   0.383
  1996.5   5.033   0.650   3.293   0.221   1.741   0.429
  1997.5   4.996   0.736   3.238   0.231   1.758   0.504
  1998.5   6.233   0.861   3.952   0.269   2.281   0.592
  1999.5   6.234   0.864   4.048   0.253   2.186   0.611
  2000.5   7.286   0.822   4.220   0.212   3.065   0.610
  2001.5   8.284   0.607   4.771   0.157   3.513   0.449
  2002.5   9.481   0.440   5.392   0.131   4.089   0.309
  2003.5  10.173   0.321   5.909   0.120   4.264   0.201
  2004.5  11.806   0.282   6.407   0.120   5.398   0.162
  2005.5  11.996   0.269   6.856   0.119   5.140   0.150
  2006.5  12.423   0.258   7.033   0.115   5.390   0.142
  2007.5  12.664   0.252   6.895   0.117   5.768   0.135
  2008.5  14.102   0.263   7.268   0.114   6.834   0.149
  2009.5  14.587   0.256   7.162   0.114   7.424   0.143
  2010.5  15.229   0.248   7.360   0.108   7.869   0.140
  2011.5  16.681   0.233   7.768   0.103   8.913   0.131
  2012.5  17.563   0.216   7.805   0.101   9.758   0.115
  2013.5  19.004   0.198   8.260   0.088  10.745   0.110
  2014.5  20.001   0.194   8.851   0.083  11.149   0.111
  2015.5  21.074   0.190   9.359   0.081  11.714   0.108
  2016.5  21.879   0.184   9.654   0.079  12.225   0.104
  2017.5  22.147   0.190   9.599   0.088  12.548   0.102
  2018.5  23.294   0.211  10.883   0.085  12.411   0.125
  2019.5  24.441   0.182  11.369   0.086  13.072   0.096
